state(time_stamp=7.103183746337891, speed_set_point=0.0, current_speed=0.01, steering_angle_set_point=0, current_steering_angle=0.15379786788056587, steer_adc_set_point=2.63616, steer_adc_avg=2.6382055116428114, steer_dac_value=0.05, speed_dac_value=0.011500000000000017)
state(time_stamp=7.103183746337891, speed_set_point=0.0, current_speed=0.01, steering_angle_set_point=0, current_steering_angle=0.15379786788056587, steer_adc_set_point=2.63616, steer_adc_avg=2.6382055116428114, steer_dac_value=0.05, speed_dac_value=0.011500000000000017)
state(time_stamp=7.103183746337891, speed_set_point=0.0, current_speed=0.01, steering_angle_set_point=0, current_steering_angle=0.15379786788056587, steer_adc_set_point=2.63616, steer_adc_avg=2.6382055116428114, steer_dac_value=0.05, speed_dac_value=0.011500000000000017)
state(time_stamp=7.103183746337891, speed_set_point=0.0, current_speed=0.01, steering_angle_set_point=0, current_steering_angle=0.15379786788056587, steer_adc_set_point=2.63616, steer_adc_avg=2.6382055116428114, steer_dac_value=0.05, speed_dac_value=0.011500000000000017)
state(time_stamp=7.103183746337891, speed_set_point=0.0, current_speed=0.01, steering_angle_set_point=0, current_steering_angle=-0.0811717088368528, steer_adc_set_point=2.63616, steer_adc_avg=2.6350804162724697, steer_dac_value=0.05, speed_dac_value=0.011500000000000017)
state(time_stamp=7.103183746337891, speed_set_point=0.0, current_speed=0.01, steering_angle_set_point=0, current_steering_angle=-0.0811717088368528, steer_adc_set_point=2.63616, steer_adc_avg=2.6350804162724697, steer_dac_value=0.05, speed_dac_value=0.011500000000000017)
state(time_stamp=7.1254777908325195, speed_set_point=0.0, current_speed=0.01, steering_angle_set_point=0, current_steering_angle=-0.0811717088368528, steer_adc_set_point=2.63616, steer_adc_avg=2.6350804162724697, steer_dac_value=0.05, speed_dac_value=0.011500000000000017)
state(time_stamp=7.1254777908325195, speed_set_point=0.0, current_speed=0.01, steering_angle_set_point=0, current_steering_angle=-0.0811717088368528, steer_adc_set_point=2.63616, steer_adc_avg=2.6350804162724697, steer_dac_value=0.05, speed_dac_value=0.011500000000000017)
state(time_stamp=7.1254777908325195, speed_set_point=0.0, current_speed=0.01, steering_angle_set_point=0, current_steering_angle=-0.0811717088368528, steer_adc_set_point=2.63616, steer_adc_avg=2.6350804162724697, steer_dac_value=0.05, speed_dac_value=0.011500000000000017)
state(time_stamp=7.1254777908325195, speed_set_point=0.0, current_speed=0.01, steering_angle_set_point=0, current_steering_angle=-0.0811717088368528, steer_adc_set_point=2.63616, steer_adc_avg=2.6350804162724697, steer_dac_value=0.05, speed_dac_value=0.011500000000000017)
state(time_stamp=7.1254777908325195, speed_set_point=0.0, current_speed=0.01, steering_angle_set_point=0, current_steering_angle=-0.0811717088368528, steer_adc_set_point=2.63616, steer_adc_avg=2.6350804162724697, steer_dac_value=0.05, speed_dac_value=0.011500000000000017)
