[array([0.10403057, 0.02956191]), -10]
[array([0.11087277, 0.02887874]), -10]
[array([0.0642277 , 0.01427396]), -10]
[array([0.0990029 , 0.02296807]), -10]
[array([0.09620091, 0.0209043 ]), -10]
[array([0.08309569, 0.01589046]), -10]
[array([0.0711379 , 0.01234741]), -10]
[array([0.02826325, 0.00133791]), -10]
[array([0.06161964, 0.00836207]), -10]
[array([0.0654748 , 0.01061163]), -10]
[array([-0.01976157, -0.01247698]), -10]
[array([-0.0448894 , -0.01841226]), 10]
[array([-0.02831257, -0.01366865]), 10]
[array([-0.13142633, -0.03932876]), 10]
[array([-0.19627243, -0.05382498]), 10]
[array([-0.23494509, -0.06077948]), 10]
[array([-0.36222184, -0.08914948]), 10]
[array([-0.42951604, -0.10075837]), 10]
[array([-0.56761687, -0.12672043]), 10]
[array([-0.66578811, -0.13652976]), 10]
[array([-0.82309644, -0.16201731]), 10]
[array([-0.83250347, -0.15695948]), 10]
[array([-0.89752192, -0.1629612 ]), 10]
[array([-0.98135639, -0.17157304]), 10]
[array([-0.90505135, -0.1504787 ]), 10]
[array([-0.9557369 , -0.15463965]), 10]
[array([-0.94956828, -0.1475572 ]), 10]
[array([-0.92042066, -0.1363977 ]), 10]
[array([-0.89729308, -0.12655315]), 10]
[array([-0.93405729, -0.12908409]), 10]
[array([-0.91682216, -0.12033265]), 10]
[array([-0.89714581, -0.10669765]), 10]
[array([-0.90685185, -0.1055192 ]), 10]
[array([-0.83695192, -0.08600415]), 10]
[array([-0.85537238, -0.08621131]), 10]
[array([-0.84472252, -0.0802997 ]), 10]
[array([-0.77717526, -0.06124926]), 10]
[array([-0.77311461, -0.05797043]), 10]
[array([-0.78177829, -0.05777265]), 10]
[array([-0.73023171, -0.04218009]), 10]
[array([-0.74034054, -0.04356165]), 10]
[array([-0.73317738, -0.03936926]), 10]
[array([-0.69630551, -0.0293122 ]), 10]
[array([-0.67486385, -0.02104581]), 10]
[array([-0.66340598, -0.01786298]), 10]
[array([-0.59323953,  0.00088091]), 10]
[array([-0.57929995,  0.00481602]), 10]
[array([-0.57360309,  0.00649457]), 10]
[array([-0.5235424 ,  0.01865107]), 10]
[array([-0.49327265,  0.02637874]), 10]
[array([-0.47588544,  0.03010591]), 10]
[array([-0.42912045,  0.04017435]), 10]
[array([-0.41049336,  0.04318191]), 10]
[array([-0.41503178,  0.04033891]), 10]
[array([-0.33432645,  0.06073763]), 10]
[array([-0.29250911,  0.06802846]), 10]
[array([-0.29080807,  0.0656748 ]), 10]
[array([-0.23396261,  0.0773218 ]), 10]
[array([-0.19545893,  0.08347713]), 10]
[array([-0.13626883,  0.09439391]), 10]
[array([-0.12578363,  0.09296169]), 10]
[array([-0.08941177,  0.09821141]), -10]
[array([-0.00769931,  0.11368752]), -10]
[array([-0.02136235,  0.10570713]), -10]
[array([0.13702751, 0.1349663 ]), -10]
[array([0.17780262, 0.13781207]), -10]
[array([0.223342  , 0.14087974]), -10]
[array([0.31727977, 0.15664002]), -10]
[array([0.40005296, 0.16696319]), -10]
[array([0.42637703, 0.16553791]), -10]
[array([0.50741273, 0.17576152]), -10]
[array([0.5903983 , 0.18400235]), -10]
[array([0.66260961, 0.19047391]), -10]
[array([0.68811904, 0.18686924]), -10]
[array([0.70722103, 0.18299907]), -10]
[array([0.60248734, 0.15438119]), -10]
[array([0.5738459 , 0.14222135]), -10]
[array([0.53329962, 0.12738769]), -10]
[array([0.4631582 , 0.10567163]), -10]
[array([0.42837396, 0.09316219]), -10]
[array([0.37749768, 0.07661357]), -10]
[array([0.30044273, 0.05363274]), -10]
[array([0.24204615, 0.03623291]), -10]
[array([0.19131474, 0.02313396]), -10]
[array([0.17227172, 0.01653157]), -10]
[array([ 0.08872024, -0.05756076]), -10]
[array([-0.03841894, -0.08798376]), 10]
[array([-0.14525263, -0.10970093]), 10]
[array([-0.18644224, -0.11542231]), 10]
[array([-0.27068871, -0.1302092 ]), 10]
[array([-0.37532091, -0.14759798]), 10]
[array([-0.49750329, -0.16762226]), 10]
[array([-0.6124937, -0.1832247]), 10]
[array([-0.79279842, -0.20904204]), 10]
[array([-0.92303223, -0.22166531]), 10]
[array([-0.97962817, -0.22333931]), 10]
[array([-1.11107033, -0.23473709]), 10]
[array([-1.28846497, -0.25025298]), 10]
[array([-1.23775438, -0.23684531]), 10]
[array([-1.33487179, -0.2411297 ]), 10]
[array([-1.36752493, -0.23825354]), 10]
[array([-1.34517131, -0.2280092 ]), 10]
[array([-1.37744956, -0.22488309]), 10]
[array([-1.32919021, -0.21206843]), 10]
[array([-1.32824752, -0.20439298]), 10]
[array([-1.29617732, -0.1939332 ]), 10]
[array([-1.40694962, -0.20320059]), 10]
[array([-1.3047308 , -0.17567126]), 10]
[array([-1.34483367, -0.17573926]), 10]
[array([-1.3377415 , -0.16946537]), 10]
[array([-1.34676211, -0.16516126]), 10]
[array([-1.33698842, -0.15826065]), 10]
[array([-1.30334381, -0.14750631]), 10]
[array([-1.26633263, -0.13529848]), 10]
[array([-1.27460315, -0.13226693]), 10]
[array([-1.34954977, -0.21655224]), 10]
[array([-1.25011256, -0.19539307]), 10]
[array([-1.30438992, -0.19748224]), 10]
[array([-1.37400657, -0.20092113]), 10]
[array([-1.2789843 , -0.17505185]), 10]
[array([-1.32153893, -0.17548902]), 10]
[array([-1.26208517, -0.16004474]), 10]
[array([-1.22579357, -0.14804046]), 10]
[array([-1.24463665, -0.14659941]), 10]
[array([-1.22117973, -0.13782991]), 10]
[array([-1.20585207, -0.13000024]), 10]
[array([-1.2285833 , -0.12963807]), 10]
[array([-1.20759298, -0.12103268]), 10]
[array([-1.13726136, -0.10315063]), 10]
[array([-1.18580275, -0.10852646]), 10]
[array([-1.16035774, -0.09934591]), 10]
[array([-1.15741046, -0.09458768]), 10]
[array([-1.11399465, -0.08299202]), 10]
[array([-1.13089246, -0.08202318]), 10]
[array([-1.13267221, -0.08042918]), 10]
[array([-1.07867564, -0.06157785]), 10]
[array([-1.06637317, -0.05628018]), 10]
[array([-1.05263154, -0.05130313]), 10]
[array([-1.03517462, -0.04548529]), 10]
[array([-1.04570167, -0.04533729]), 10]
[array([-0.98168324, -0.02872874]), 10]
[array([-0.9814769 , -0.02737557]), 10]
[array([-0.97645176, -0.02410941]), 10]
[array([-0.91638345, -0.00706718]), 10]
[array([-0.9230907 , -0.00950479]), 10]
[array([-0.87478817,  0.00266526]), 10]
[array([-0.82378285,  0.01651126]), 10]
[array([-0.82115564,  0.01663315]), 10]
[array([-0.79072833,  0.02256615]), 10]
[array([-0.75427766,  0.03155982]), 10]
[array([-0.71876233,  0.03975093]), 10]
[array([-0.67090002,  0.04306537]), 10]
[array([-0.63124597,  0.05039609]), 10]
[array([-0.59625189,  0.05819314]), 10]
[array([-0.56779673,  0.06273598]), 10]
[array([-0.52166195,  0.07221414]), 10]
[array([-0.48439485,  0.07941137]), 10]
[array([-0.45779846,  0.08286287]), 10]
[array([-0.40929876,  0.09167875]), 10]
[array([-0.37609792,  0.09632398]), 10]
[array([-0.34887509,  0.09839437]), 10]
[array([-0.29016706,  0.11029464]), 10]
[array([-0.24221022,  0.1158542 ]), 10]
[array([-0.20512962,  0.12082009]), 10]
[array([-0.16067498,  0.12611037]), 10]
[array([-0.03510753,  0.14400314]), -10]
[array([0.01172663, 0.14905009]), -10]
[array([0.06678615, 0.15579225]), -10]
[array([0.13033229, 0.16211048]), -10]
[array([0.18381545, 0.16710631]), -10]
[array([0.29702146, 0.18430037]), -10]
[array([0.32801725, 0.18222792]), -10]
[array([0.40519397, 0.18993064]), -10]
[array([0.5589024 , 0.21185964]), -10]
[array([0.63211437, 0.21727503]), -10]
[array([0.65406286, 0.28455341]), -10]
[array([0.85386606, 0.30209257]), -10]
[array([0.89520329, 0.29713018]), -10]
[array([0.89838833, 0.28692491]), -10]
[array([0.86333326, 0.27157702]), -10]
[array([0.89734857, 0.2661798 ]), -10]
[array([0.7959768 , 0.24233585]), -10]
[array([0.73776194, 0.21462324]), -10]
[array([0.72197743, 0.20433391]), -10]
[array([0.64279175, 0.18152452]), -10]
[array([0.56969574, 0.15962518]), -10]
[array([0.57363563, 0.15324907]), -10]
[array([0.56595329, 0.14517974]), -10]
[array([0.52927054, 0.13058924]), -10]
[array([0.4817303 , 0.11622263]), -10]
[array([0.41722489, 0.09423746]), -10]
[array([0.37226671, 0.08049407]), -10]
[array([0.28691043, 0.05651857]), -10]
[array([0.28137189, 0.05227218]), -10]
[array([0.19793011, 0.0296638 ]), -10]
[array([ 0.0786097 , -0.00393815]), -10]
[array([ 0.00226765, -0.02352076]), -10]
[array([-0.03259679, -0.03128048]), 10]
[array([-0.13183784, -0.05522987]), 10]
[array([-0.24360312, -0.08016415]), 10]
[array([-0.19936776, -0.0653557 ]), 10]
[array([-0.3146626 , -0.08993737]), 10]
[array([-0.4309632 , -0.08972523]), 10]
[array([-0.49789978, -0.10090096]), 10]
[array([-0.57020438, -0.11302451]), 10]
[array([-0.72795356, -0.14048018]), 10]
[array([-0.7956255 , -0.14780779]), 10]
[array([-0.9426635 , -0.16889757]), 10]
[array([-1.02703139, -0.17700501]), 10]
[array([-1.03841964, -0.17232362]), 10]
[array([-1.0314127 , -0.16507373]), 10]
[array([-1.1326294 , -0.17570879]), 10]
[array([-1.04390974, -0.14815629]), 10]
[array([-1.12274637, -0.15635418]), 10]
[array([-1.06167778, -0.14022129]), 10]
[array([-1.00812725, -0.12369857]), 10]
[array([-1.03938879, -0.12592146]), 10]
[array([-1.00393888, -0.11450396]), 10]
[array([-0.97066738, -0.10310223]), 10]
[array([-0.99908288, -0.10496735]), 10]
[array([-0.99367315, -0.09924818]), 10]
[array([-0.98194805, -0.09311862]), 10]
[array([-0.92474727, -0.07718057]), 10]
[array([-0.93299264, -0.07600112]), 10]
[array([-0.90644782, -0.06657329]), 10]
[array([-0.89655085, -0.06162401]), 10]
[array([-0.86800337, -0.05250373]), 10]
[array([-0.88564613, -0.05410151]), 10]
[array([-0.82805712, -0.03658907]), 10]
[array([-0.81476112, -0.03148146]), 10]
[array([-0.76414444,  0.07526663]), 10]
[array([-0.7379657 ,  0.07819196]), 10]
[array([-0.727766  ,  0.07745868]), 10]
[array([-0.64858463,  0.09674746]), 10]
[array([-0.63869409,  0.09445646]), 10]
[array([-0.60788726,  0.09726607]), 10]
[array([-0.54397839,  0.11085163]), 10]
[array([-0.52359044,  0.11026196]), 10]
[array([-0.47022395,  0.12174135]), 10]
[array([-0.43599866,  0.12425063]), 10]
[array([-0.40130071,  0.12678102]), 10]
[array([-0.32640387,  0.14199563]), 10]
[array([-0.22500229,  0.1525123 ]), 10]
[array([-0.17784838,  0.15713524]), -10]
[array([-0.11146314,  0.16728263]), -10]
[array([-0.04638214,  0.17397546]), -10]
[array([-0.00810479,  0.17566068]), -10]
[array([0.07031428, 0.18454696]), -10]
[array([0.14297393, 0.19396074]), -10]
[array([0.19739719, 0.28084483]), -10]
[array([0.35917659, 0.29808605]), -10]
[array([0.48080423, 0.3036255 ]), -10]
[array([0.63039219, 0.31370138]), -10]
[array([0.7026914 , 0.31113216]), -10]
[array([0.82119514, 0.31517716]), -10]
[array([0.99075827, 0.31363644]), -10]
[array([0.93668884, 0.29633994]), -10]
[array([0.98313182, 0.29113811]), -10]
[array([0.88678525, 0.26778372]), -10]
[array([0.88799638, 0.25851344]), -10]
[array([0.80019964, 0.23479405]), -10]
[array([0.79892639, 0.16212736]), -10]
[array([0.74337095, 0.14462541]), -10]
[array([0.6834108 , 0.12638803]), -10]
[array([0.6244698 , 0.10767786]), -10]
[array([0.5716432 , 0.09229914]), -10]
[array([0.54883648, 0.08266875]), -10]
[array([0.44301629, 0.05379619]), -10]
[array([0.36532267, 0.03023108]), -10]
[array([0.32171945, 0.01640286]), -10]
[array([0.28734986, 0.00768008]), -10]
[array([ 0.18570091, -0.01832047]), -10]
[array([ 0.13596649, -0.03020425]), -10]
[array([ 0.08111639, -0.04354025]), -10]
[array([-0.03592606, -0.07115486]), 10]
[array([-0.08902709, -0.08100397]), 10]
[array([-0.16818481, -0.09671631]), 10]
[array([-0.28045131, -0.11826525]), 10]
[array([-0.33538027, -0.12620803]), 10]
[array([-0.3696508 , -0.12717031]), 10]
[array([-0.58073539, -0.16656425]), 10]
[array([-0.63309046, -0.16942881]), 10]
[array([-1.00577159, -0.27877377]), 10]
[array([-1.15217684, -0.286579  ]), 10]
[array([-1.21931907, -0.28627194]), 10]
[array([-1.48715222, -0.30455438]), 10]
[array([-1.46180777, -0.29414066]), 10]
[array([-1.53827552, -0.29393211]), 10]
[array([-1.49349286, -0.28112805]), 10]
[array([-1.43110387, -0.26659755]), 10]
[array([-1.44281433, -0.25953783]), 10]
[array([-1.44563661, -0.24652844]), 10]
[array([-1.47844439, -0.24266816]), 10]
[array([-1.47976855, -0.236256  ]), 10]
[array([-1.4648946 , -0.22800861]), 10]
[array([-1.4811357, -0.223117 ]), 10]
[array([-1.38543682, -0.203831  ]), 10]
[array([-1.47891173, -0.24480265]), 10]
[array([-1.43744927, -0.23294788]), 10]
[array([-1.41944255, -0.22382288]), 10]
[array([-1.46179499, -0.22286088]), 10]
[array([-1.51628728, -0.22272382]), 10]
[array([-1.47438773, -0.21147043]), 10]
[array([-1.49412313, -0.20788199]), 10]
[array([-1.50423782, -0.20326965]), 10]
[array([-1.44433359, -0.1889461 ]), 10]
[array([-1.50601263, -0.1921501 ]), 10]
[array([-1.44371755, -0.17144154]), 10]
[array([-1.42653125, -0.16307854]), 10]
[array([-1.44618806, -0.16144899]), 10]
[array([-1.44248426, -0.15542221]), 10]
[array([-1.38316685, -0.14076065]), 10]
[array([-1.42128913, -0.14293371]), 10]
[array([-1.40085388, -0.13507976]), 10]
[array([-1.36448582, -0.12356288]), 10]
[array([-1.38827869, -0.12391349]), 10]
[array([-1.38246055, -0.11883804]), 10]
[array([-1.29683605, -0.09804649]), 10]
[array([-1.31765443, -0.09886854]), 10]
[array([-1.3621218 , -0.10325171]), 10]
[array([-1.2602791 , -0.07953015]), 10]
[array([-1.24363194, -0.07307243]), 10]
[array([-1.27169728, -0.0760991 ]), 10]
[array([-1.22671545, -0.06092943]), 10]
[array([-1.23971706, -0.0611011 ]), 10]
[array([-1.18493729, -0.04717782]), 10]
[array([-1.14880337, -0.0368891 ]), 10]
[array([-1.1519787, -0.0354786]), 10]
[array([-1.11981918, -0.02601938]), 10]
[array([-1.10108192, -0.02040815]), 10]
[array([-1.08425949, -0.01546476]), 10]
[array([-1.04349089, -0.00394926]), 10]
[array([-1.0366699 , -0.00208749]), 10]
[array([-1.00656998,  0.00470524]), 10]
[array([-0.95352769,  0.01945796]), 10]
[array([-0.9575683 ,  0.01638512]), 10]
[array([-0.92431641,  0.02469885]), 10]
[array([-0.91241049,  0.02689074]), 10]
[array([-0.84905692,  0.04280612]), 10]
[array([-0.82670908,  0.04541207]), 10]
[array([-0.74551166,  0.06493596]), 10]
[array([-0.74551166,  0.06493596]), 10]
[array([-0.68195001,  0.07558879]), 10]
[array([-0.65600284,  0.0797004 ]), 10]
[array([-0.5735187 ,  0.09623051]), 10]
[array([-0.59939456,  0.0840714 ]), 10]
[array([-0.61287119,  0.07506057]), 10]
[array([-0.370623  ,  0.14692585]), 10]
[array([-0.44479642,  0.11544246]), 10]
[array([-0.39797966,  0.1225659 ]), 10]
[array([-0.39153011,  0.11754374]), 10]
[array([-0.23842974,  0.14994629]), 10]
[array([-0.36687113,  0.10347701]), 10]
[array([-0.22745193,  0.13498851]), 10]
[array([-0.24464083,  0.12199885]), 10]
[array([-0.15142605,  0.14032012]), -10]
[array([0.00987827, 0.17639429]), -10]
[array([0.05860874, 0.18067035]), -10]
[array([0.13524859, 0.19060885]), -10]
[array([0.20327049, 0.19810585]), -10]
[array([0.2431288 , 0.19911357]), -10]
[array([0.34337707, 0.20544001]), -10]
[array([0.57607433, 0.24259851]), -10]
[array([0.62145887, 0.24186618]), -10]
[array([0.65484459, 0.23930957]), -10]
[array([0.72252883, 0.24148646]), -10]
[array([0.94490142, 0.27056379]), -10]
