pos_data(lat=-25.745289999999997, long=28.2478712, heading=263.44089, speed=0.67)
pos_data(lat=-25.7452902, long=28.2478685, heading=263.56386000000003, speed=1.0)
pos_data(lat=-25.7452904, long=28.2478663, heading=266.19272, speed=1.13)
pos_data(lat=-25.7452905, long=28.2478651, heading=264.62778000000003, speed=1.21)
pos_data(lat=-25.7452906, long=28.2478639, heading=264.99926000000005, speed=1.19)
pos_data(lat=-25.745290699999998, long=28.247862599999998, heading=265.90175000000005, speed=1.26)
pos_data(lat=-25.7452908, long=28.2478613, heading=266.53950000000003, speed=1.25)
pos_data(lat=-25.745290699999998, long=28.24786, heading=268.52121, speed=1.26)
pos_data(lat=-25.7452909, long=28.2478587, heading=267.25686, speed=1.34)
pos_data(lat=-25.7452909, long=28.247857399999997, heading=266.85194, speed=1.3)
pos_data(lat=-25.7452908, long=28.247856, heading=271.00789000000003, speed=1.37)
pos_data(lat=-25.745290699999998, long=28.2478546, heading=272.07624000000004, speed=1.33)
pos_data(lat=-25.745290699999998, long=28.247853199999998, heading=271.22239, speed=1.39)
pos_data(lat=-25.7452905, long=28.247851899999997, heading=275.84121000000005, speed=1.32)
pos_data(lat=-25.7452902, long=28.2478505, heading=278.45053, speed=1.42)
pos_data(lat=-25.7452899, long=28.2478491, heading=279.70234000000005, speed=1.34)
pos_data(lat=-25.7452895, long=28.2478478, heading=284.80894, speed=1.44)
pos_data(lat=-25.745289, long=28.2478463, heading=286.89854, speed=1.45)
pos_data(lat=-25.7452884, long=28.247844999999998, heading=291.57171, speed=1.45)
pos_data(lat=-25.745287299999998, long=28.2478423, heading=293.33739, speed=1.53)
pos_data(lat=-25.7452865, long=28.247840999999998, heading=297.92515000000003, speed=1.48)
pos_data(lat=-25.7452859, long=28.2478397, heading=297.01474, speed=1.48)
pos_data(lat=-25.745285199999998, long=28.247838299999998, heading=298.09505, speed=1.48)
pos_data(lat=-25.7452845, long=28.247836999999997, heading=299.64518000000004, speed=1.51)
pos_data(lat=-25.7452839, long=28.2478356, heading=295.8482, speed=1.44)
pos_data(lat=-25.7452833, long=28.247834299999997, heading=296.59717, speed=1.51)
pos_data(lat=-25.745282699999997, long=28.2478329, heading=295.32233, speed=1.47)
pos_data(lat=-25.7452823, long=28.247831599999998, heading=293.31362, speed=1.37)
pos_data(lat=-25.745281799999997, long=28.2478302, heading=291.5416, speed=1.46)
pos_data(lat=-25.7452813, long=28.247828799999997, heading=291.99717000000004, speed=1.48)
pos_data(lat=-25.7452808, long=28.2478274, heading=290.42191, speed=1.41)
pos_data(lat=-25.745279999999998, long=28.247824599999998, heading=287.96761000000004, speed=1.47)
pos_data(lat=-25.745279699999998, long=28.2478232, heading=287.75549, speed=1.44)
pos_data(lat=-25.745279399999998, long=28.247821799999997, heading=284.24278000000004, speed=1.43)
pos_data(lat=-25.745279099999998, long=28.247820299999997, heading=284.28007, speed=1.5)
pos_data(lat=-25.745278799999998, long=28.247818799999997, heading=283.21598, speed=1.49)
pos_data(lat=-25.7452786, long=28.247817299999998, heading=279.7869, speed=1.48)
pos_data(lat=-25.7452784, long=28.2478159, heading=279.19671, speed=1.49)
pos_data(lat=-25.745278199999998, long=28.247814299999998, heading=279.16111, speed=1.52)
pos_data(lat=-25.7452781, long=28.2478128, heading=276.35445000000004, speed=1.48)
pos_data(lat=-25.745278, long=28.2478113, heading=276.60313, speed=1.48)
pos_data(lat=-25.7452778, long=28.2478098, heading=275.8485, speed=1.54)
pos_data(lat=-25.7452778, long=28.2478083, heading=274.03823, speed=1.45)
pos_data(lat=-25.7452777, long=28.2478052, heading=272.55028000000004, speed=1.5)
pos_data(lat=-25.7452777, long=28.2478037, heading=271.97737, speed=1.49)
pos_data(lat=-25.7452778, long=28.2478022, heading=268.60347, speed=1.46)
pos_data(lat=-25.745277899999998, long=28.2478008, heading=267.89515, speed=1.45)
pos_data(lat=-25.745277899999998, long=28.247799299999997, heading=267.59301000000005, speed=1.47)
pos_data(lat=-25.7452781, long=28.247797799999997, heading=265.40484000000004, speed=1.46)
pos_data(lat=-25.745278199999998, long=28.2477964, heading=264.01386, speed=1.46)
pos_data(lat=-25.7452784, long=28.247794799999998, heading=263.34297000000004, speed=1.49)
pos_data(lat=-25.7452787, long=28.2477934, heading=261.53065000000004, speed=1.47)
pos_data(lat=-25.7452789, long=28.2477919, heading=260.98929000000004, speed=1.49)
pos_data(lat=-25.745279099999998, long=28.2477904, heading=261.50103, speed=1.51)
pos_data(lat=-25.745279399999998, long=28.2477889, heading=257.82926000000003, speed=1.46)
pos_data(lat=-25.7452798, long=28.2477874, heading=256.51691, speed=1.51)
pos_data(lat=-25.7452801, long=28.2477859, heading=256.94057000000004, speed=1.51)
pos_data(lat=-25.7452805, long=28.247784499999998, heading=254.84411000000003, speed=1.49)
pos_data(lat=-25.745280899999997, long=28.247783, heading=253.73615, speed=1.46)
pos_data(lat=-25.7452814, long=28.2477816, heading=251.77113000000003, speed=1.46)
pos_data(lat=-25.745281799999997, long=28.247780199999998, heading=252.02893000000003, speed=1.47)
pos_data(lat=-25.7452822, long=28.2477788, heading=251.08398000000003, speed=1.46)
pos_data(lat=-25.7452828, long=28.2477774, heading=248.29828000000003, speed=1.48)
pos_data(lat=-25.7452832, long=28.247775999999998, heading=249.73475000000002, speed=1.51)
pos_data(lat=-25.7452844, long=28.2477733, heading=244.46810000000002, speed=1.45)
pos_data(lat=-25.745285, long=28.2477719, heading=243.95586000000003, speed=1.5)
pos_data(lat=-25.7452857, long=28.2477706, heading=243.40368, speed=1.51)
pos_data(lat=-25.745286399999998, long=28.247769299999998, heading=240.56683, speed=1.5)
pos_data(lat=-25.7452872, long=28.247767999999997, heading=238.70866, speed=1.53)
pos_data(lat=-25.745287899999997, long=28.2477666, heading=238.96521, speed=1.52)
pos_data(lat=-25.7452886, long=28.2477654, heading=237.12496000000002, speed=1.52)
pos_data(lat=-25.7452895, long=28.247764099999998, heading=235.64161000000001, speed=1.54)
pos_data(lat=-25.745290299999997, long=28.247762899999998, heading=234.47673000000003, speed=1.5)
pos_data(lat=-25.7452911, long=28.2477616, heading=235.12557, speed=1.57)
pos_data(lat=-25.745291899999998, long=28.2477603, heading=235.8222, speed=1.48)
pos_data(lat=-25.745292499999998, long=28.247758899999997, heading=240.97342000000003, speed=1.54)
pos_data(lat=-25.745293, long=28.2477575, heading=243.16219, speed=1.53)
pos_data(lat=-25.7452935, long=28.247756, heading=245.83225000000002, speed=1.5)
pos_data(lat=-25.7452939, long=28.2477545, heading=249.74114000000003, speed=1.56)
pos_data(lat=-25.745294299999998, long=28.247753, heading=251.99284000000003, speed=1.57)
pos_data(lat=-25.745294599999998, long=28.2477515, heading=254.97159000000002, speed=1.51)
pos_data(lat=-25.7452948, long=28.24775, heading=259.10814000000005, speed=1.5)
