state(speed_set_point=1.5, current_speed=0.67, steering_angle_set_point=0.0, current_steering_angle=-0.09131915148140794, steer_adc_set_point=2.58296, steer_adc_avg=2.581745455285297, steer_dac_value=0.05, speed_dac_value=1.5231)
state(speed_set_point=1.5, current_speed=1.0, steering_angle_set_point=-10, current_steering_angle=-0.29809237899277247, steer_adc_set_point=2.44996, steer_adc_avg=2.578995371359396, steer_dac_value=2.155758681925922, speed_dac_value=1.3493999999999995)
state(speed_set_point=1.5, current_speed=1.13, steering_angle_set_point=-10, current_steering_angle=-1.958544054462767, steer_adc_set_point=2.44996, steer_adc_avg=2.556911364075645, steer_dac_value=2.058185237912128, speed_dac_value=1.2671999999999988)
state(speed_set_point=1.5, current_speed=1.21, steering_angle_set_point=-10, current_steering_angle=-3.93855435426851, steer_adc_set_point=2.44996, steer_adc_avg=2.5305772270882287, steer_dac_value=1.8109863209529895, speed_dac_value=1.2159999999999989)
state(speed_set_point=1.5, current_speed=1.19, steering_angle_set_point=-10, current_steering_angle=-5.473688922155864, steer_adc_set_point=2.44996, steer_adc_avg=2.510159937335327, steer_dac_value=1.6437024162114304, speed_dac_value=1.2622999999999982)
state(speed_set_point=1.5, current_speed=1.26, steering_angle_set_point=-10, current_steering_angle=-7.096545465351053, steer_adc_set_point=2.44996, steer_adc_avg=2.488575945310831, steer_dac_value=1.41603333532721, speed_dac_value=1.2242999999999988)
state(speed_set_point=1.5, current_speed=1.25, steering_angle_set_point=-10, current_steering_angle=-8.280792132006997, steer_adc_set_point=2.44996, steer_adc_avg=2.472825464644307, steer_dac_value=1.241824219244976, speed_dac_value=1.2585999999999984)
state(speed_set_point=1.5, current_speed=1.26, steering_angle_set_point=-10, current_steering_angle=-9.355386329528132, steer_adc_set_point=2.44996, steer_adc_avg=2.4585333618172758, steer_dac_value=1.059723195654171, speed_dac_value=1.2731999999999979)
state(speed_set_point=1.5, current_speed=1.34, steering_angle_set_point=-10, current_steering_angle=-10.273334142570999, steer_adc_set_point=2.44996, steer_adc_avg=2.4463246559038057, steer_dac_value=0.05565928916287595, speed_dac_value=1.2139999999999977)
state(speed_set_point=1.5, current_speed=1.3, steering_angle_set_point=-10, current_steering_angle=-10.226340227227508, steer_adc_set_point=2.44996, steer_adc_avg=2.446949674977874, steer_dac_value=0.05, speed_dac_value=1.271199999999998)
state(speed_set_point=1.5, current_speed=1.37, steering_angle_set_point=-10, current_steering_angle=-10.016434072026604, steer_adc_set_point=2.44996, steer_adc_avg=2.449741426842046, steer_dac_value=0.05, speed_dac_value=1.2150999999999983)
state(speed_set_point=1.5, current_speed=1.33, steering_angle_set_point=-10, current_steering_angle=-10.069693842749206, steer_adc_set_point=2.44996, steer_adc_avg=2.4490330718914355, steer_dac_value=0.05, speed_dac_value=1.2708999999999988)
state(speed_set_point=1.5, current_speed=1.39, steering_angle_set_point=10, current_steering_angle=-10.107288975023978, steer_adc_set_point=2.71596, steer_adc_avg=2.448533056632181, steer_dac_value=3.5, speed_dac_value=1.2236999999999998)
state(speed_set_point=1.5, current_speed=1.32, steering_angle_set_point=10, current_steering_angle=-9.53396320783341, steer_adc_set_point=2.71596, steer_adc_avg=2.4561582893358156, steer_dac_value=3.5, speed_dac_value=1.3103)
state(speed_set_point=1.5, current_speed=1.42, steering_angle_set_point=10, current_steering_angle=-7.500693137305063, steer_adc_set_point=2.71596, steer_adc_avg=2.4832007812738426, steer_dac_value=3.5, speed_dac_value=1.2212999999999996)
state(speed_set_point=1.5, current_speed=1.34, steering_angle_set_point=10, current_steering_angle=-4.446088639978153, steer_adc_set_point=2.71596, steer_adc_avg=2.5238270210882905, steer_dac_value=3.5, speed_dac_value=1.3156999999999996)
state(speed_set_point=1.5, current_speed=1.44, steering_angle_set_point=10, current_steering_angle=-1.3695536488243674, steer_adc_set_point=2.71596, steer_adc_avg=2.564744936470636, steer_dac_value=3.5, speed_dac_value=1.2236999999999993)
state(speed_set_point=1.5, current_speed=1.45, steering_angle_set_point=10, current_steering_angle=1.600461800884247, steer_adc_set_point=2.71596, steer_adc_avg=2.6042461419517604, steer_dac_value=3.5, speed_dac_value=1.2182999999999988)
state(speed_set_point=1.5, current_speed=1.45, steering_angle_set_point=10, current_steering_angle=4.780383405793765, steer_adc_set_point=2.71596, steer_adc_avg=2.646539099297057, steer_dac_value=3.5, speed_dac_value=1.2222999999999984)
state(speed_set_point=1.5, current_speed=1.53, steering_angle_set_point=10, current_steering_angle=8.079356262906812, steer_adc_set_point=2.71596, steer_adc_avg=2.6904154382966605, steer_dac_value=3.1628854110537956, speed_dac_value=1.1466999999999978)
state(speed_set_point=1.5, current_speed=1.48, steering_angle_set_point=10, current_steering_angle=10.861396051241432, steer_adc_set_point=2.71596, steer_adc_avg=2.727416567481511, steer_dac_value=0.17761366244494195, speed_dac_value=1.1941999999999982)
state(speed_set_point=1.5, current_speed=1.48, steering_angle_set_point=10, current_steering_angle=11.632096262874681, steer_adc_set_point=2.71596, steer_adc_avg=2.737666880296233, steer_dac_value=0.37004863747062994, speed_dac_value=1.196199999999998)
state(speed_set_point=1.5, current_speed=1.48, steering_angle_set_point=10, current_steering_angle=11.30627178315982, steer_adc_set_point=2.71596, steer_adc_avg=2.7333334147160255, steer_dac_value=0.34397694420199754, speed_dac_value=1.1981999999999977)
state(speed_set_point=1.5, current_speed=1.51, steering_angle_set_point=10, current_steering_angle=10.814402135897941, steer_adc_set_point=2.71596, steer_adc_avg=2.7267915484074425, steer_dac_value=0.27399557758314075, speed_dac_value=1.1692999999999976)
state(speed_set_point=1.5, current_speed=1.44, steering_angle_set_point=10, current_steering_angle=10.472913017735284, steer_adc_set_point=2.71596, steer_adc_avg=2.722249743135879, steer_dac_value=0.22486484727521727, speed_dac_value=1.2403999999999975)
state(speed_set_point=1.5, current_speed=1.51, steering_angle_set_point=10, current_steering_angle=10.231677585638653, steer_adc_set_point=2.71596, steer_adc_avg=2.719041311888994, steer_dac_value=0.1900595541449251, speed_dac_value=1.173599999999997)
state(speed_set_point=1.5, current_speed=1.47, steering_angle_set_point=10, current_steering_angle=10.216012947190857, steer_adc_set_point=2.71596, steer_adc_avg=2.7188329721976383, steer_dac_value=0.19485589265623934, speed_dac_value=1.213999999999997)
state(speed_set_point=1.5, current_speed=1.37, steering_angle_set_point=10, current_steering_angle=10.062499490402095, steer_adc_set_point=2.71596, steer_adc_avg=2.7167912432223478, steer_dac_value=0.05, speed_dac_value=1.3167999999999969)
state(speed_set_point=1.5, current_speed=1.46, steering_angle_set_point=10, current_steering_angle=9.984176298162911, steer_adc_set_point=2.71596, steer_adc_avg=2.7157495447655666, steer_dac_value=0.05, speed_dac_value=1.2300999999999969)
state(speed_set_point=1.5, current_speed=1.48, steering_angle_set_point=10, current_steering_angle=9.990442153542055, steer_adc_set_point=2.71596, steer_adc_avg=2.7158328806421093, steer_dac_value=0.05, speed_dac_value=1.2118999999999966)
state(speed_set_point=1.5, current_speed=1.41, steering_angle_set_point=10, current_steering_angle=9.974777515094226, steer_adc_set_point=2.71596, steer_adc_avg=2.715624540950753, steer_dac_value=0.05, speed_dac_value=1.2899999999999958)
state(speed_set_point=1.5, current_speed=1.45, steering_angle_set_point=10, current_steering_angle=9.999840936610774, steer_adc_set_point=2.71596, steer_adc_avg=2.715957884456923, steer_dac_value=0.05, speed_dac_value=1.2543999999999953)
state(speed_set_point=1.5, current_speed=1.47, steering_angle_set_point=10, current_steering_angle=10.00610679198992, steer_adc_set_point=2.71596, steer_adc_avg=2.716041220333466, steer_dac_value=0.05, speed_dac_value=1.236799999999995)
state(speed_set_point=1.5, current_speed=1.43, steering_angle_set_point=10, current_steering_angle=9.952847021267283, steer_adc_set_point=2.71596, steer_adc_avg=2.715332865382855, steer_dac_value=0.05, speed_dac_value=1.2828999999999944)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=10, current_steering_angle=9.940315310509027, steer_adc_set_point=2.71596, steer_adc_avg=2.71516619362977, steer_dac_value=0.05, speed_dac_value=1.2177999999999938)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=10, current_steering_angle=10.17841781491605, steer_adc_set_point=2.71596, steer_adc_avg=2.7183329569383834, steer_dac_value=0.05, speed_dac_value=1.2177999999999938)
state(speed_set_point=1.5, current_speed=1.48, steering_angle_set_point=10, current_steering_angle=10.131423899572527, steer_adc_set_point=2.71596, steer_adc_avg=2.7177079378643145, steer_dac_value=0.05, speed_dac_value=1.2383999999999937)
state(speed_set_point=1.5, current_speed=1.49, steering_angle_set_point=10, current_steering_angle=10.00610679198992, steer_adc_set_point=2.71596, steer_adc_avg=2.716041220333466, steer_dac_value=0.05, speed_dac_value=1.2291999999999936)
state(speed_set_point=1.5, current_speed=1.52, steering_angle_set_point=10, current_steering_angle=10.062499490402095, steer_adc_set_point=2.71596, steer_adc_avg=2.7167912432223478, steer_dac_value=0.05, speed_dac_value=1.1981999999999937)
state(speed_set_point=1.5, current_speed=1.48, steering_angle_set_point=10, current_steering_angle=9.887055539786424, steer_adc_set_point=2.71596, steer_adc_avg=2.7144578386791594, steer_dac_value=0.05, speed_dac_value=1.2389999999999937)
state(speed_set_point=1.5, current_speed=1.48, steering_angle_set_point=10, current_steering_angle=10.028037285816895, steer_adc_set_point=2.71596, steer_adc_avg=2.7163328959013646, steer_dac_value=0.05, speed_dac_value=1.2407999999999935)
state(speed_set_point=1.5, current_speed=1.54, steering_angle_set_point=10, current_steering_angle=10.012372647369064, steer_adc_set_point=2.71596, steer_adc_avg=2.7161245562100085, steer_dac_value=0.05, speed_dac_value=1.1781999999999937)
