[array([0.06742842, 0.0187938 ]), -10]
[array([0.09297971, 0.01828503]), -10]
[array([0.09002716, 0.0167218 ]), -10]
[array([0.08041483, 0.0116253 ]), -10]
[array([0.07912836, 0.00859619]), -10]
[array([0.08951669, 0.0119888 ]), -10]
[array([0.1234587 , 0.02520569]), -10]
[array([0.0946673 , 0.01237586]), -10]
[array([0.09336942, 0.00933897]), -10]
[array([0.08755658, 0.00625675]), -10]
[array([0.07746084, 0.00325297]), -10]
[array([ 0.05829831, -0.00693947]), -10]
[array([ 0.01517849, -0.02512703]), -10]
[array([ 0.01525265, -0.02275153]), -10]
[array([ 0.00812532, -0.02421609]), -10]
[array([-0.0919356 , -0.06734781]), 10]
[array([-0.11563467, -0.06983642]), 10]
[array([-0.22222444, -0.10193709]), 10]
[array([-0.30621675, -0.12705186]), 10]
[array([-0.33958215, -0.13062264]), 10]
[array([-0.39538085, -0.14210636]), 10]
[array([-0.49440135, -0.16415025]), 10]
[array([-0.5627491 , -0.17342764]), 10]
[array([-0.64294476, -0.18643697]), 10]
[array([-0.64294476, -0.18643697]), 10]
[array([-0.77748467, -0.19841986]), 10]
[array([-0.84085102, -0.20289759]), 10]
[array([-0.940268  , -0.21548609]), 10]
[array([-0.95320822, -0.20766597]), 10]
[array([-0.93731599, -0.19296497]), 10]
[array([-0.99179125, -0.1955257 ]), 10]
[array([-1.00012797, -0.17790414]), 10]
[array([-1.02821495, -0.17553042]), 10]
[array([-1.02851576, -0.16603247]), 10]
[array([-1.01600259, -0.15438003]), 10]
[array([-1.05206043, -0.15610336]), 10]
[array([-1.07216457, -0.15228559]), 10]
[array([-1.05851151, -0.14005242]), 10]
[array([-1.05391595, -0.13140859]), 10]
[array([-1.04462505, -0.12150225]), 10]
[array([-1.08683541, -0.1263462 ]), 10]
[array([-1.04962521, -0.10883559]), 10]
[array([-1.04234927, -0.10032564]), 10]
[array([-1.04234927, -0.10032564]), 10]
[array([-1.04672979, -0.08921003]), 10]
[array([-1.02756422, -0.07731503]), 10]
[array([-1.05587264, -0.08112442]), 10]
[array([-1.03426668, -0.0696892 ]), 10]
[array([-0.98278251, -0.04723681]), 10]
[array([-1.010707  , -0.05304142]), 10]
[array([-0.97659791, -0.03276303]), 10]
[array([-0.98204093, -0.03120853]), 10]
[array([-0.98762736, -0.03162514]), 10]
[array([-0.96030168, -0.01894725]), 10]
[array([-0.93879517, -0.00835547]), 10]
[array([-0.95457884, -0.0140517 ]), 10]
[array([-9.28801362e-01, -9.18918386e-04]), 10]
[array([-0.90489761,  0.00955786]), 10]
[array([-0.90600313,  0.00675886]), 10]
[array([-0.88448579,  0.01622547]), 10]
[array([-0.82806839,  0.04219069]), 10]
[array([-0.83592236,  0.03449414]), 10]
[array([-0.83592236,  0.03449414]), 10]
[array([-0.78650839,  0.05179986]), 10]
[array([-0.7593846,  0.0614398]), 10]
[array([-0.73541528,  0.06896564]), 10]
[array([-0.70444982,  0.07816986]), 10]
[array([-0.67656141,  0.08493219]), 10]
[array([-0.65026008,  0.09156141]), 10]
[array([-0.61862391,  0.09773103]), 10]
[array([-0.57774241,  0.11166025]), 10]
[array([-0.55822545,  0.10814403]), 10]
[array([-0.52394548,  0.11749047]), 10]
[array([-0.47513781,  0.13361353]), 10]
[array([-0.39166246,  0.14657953]), 10]
[array([-0.35413159,  0.15203119]), 10]
[array([-0.31188309,  0.15795391]), 10]
[array([-0.26221746,  0.16686608]), 10]
[array([-0.21616258,  0.17391286]), -10]
[array([-0.16252973,  0.1819388 ]), -10]
[array([-0.16252973,  0.1819388 ]), -10]
[array([-0.05480257,  0.19610841]), -10]
[array([0.00342905, 0.20285614]), -10]
[array([0.0635116 , 0.20917725]), -10]
[array([0.12852134, 0.21528136]), -10]
[array([0.23783781, 0.23591919]), -10]
[array([0.28922698, 0.23473586]), -10]
[array([0.36426973, 0.24007725]), -10]
[array([0.45351005, 0.24848819]), -10]
[array([0.51220067, 0.24971397]), -10]
[array([0.5374973 , 0.24057441]), -10]
[array([0.60756169, 0.24322341]), -10]
[array([0.60415409, 0.22898141]), -10]
[array([0.60304262, 0.21718208]), -10]
[array([0.59694501, 0.19084291]), -10]
[array([0.60559846, 0.18167936]), -10]
[array([0.56550502, 0.15886869]), -10]
[array([0.58960357, 0.15517491]), -10]
[array([0.53253376, 0.1271898 ]), -10]
[array([0.5344656 , 0.12030708]), -10]
[array([0.530062  , 0.11068319]), -10]
[array([0.49429675, 0.0902198 ]), -10]
[array([0.47413796, 0.07537964]), -10]
[array([0.44625661, 0.06048875]), -10]
[array([0.42334446, 0.0453963 ]), -10]
[array([0.38548964, 0.02666641]), -10]
[array([0.35965356, 0.01569047]), -10]
[array([0.34787236, 0.00957758]), -10]
[array([ 0.31329223, -0.00645575]), -10]
[array([ 0.25358147, -0.03179831]), -10]
[array([ 0.22418316, -0.04326259]), -10]
[array([ 0.17035582, -0.05536781]), -10]
[array([ 0.08673969, -0.08973259]), -10]
[array([ 0.03608928, -0.10415809]), 10]
[array([-0.02847808, -0.12148192]), 10]
[array([-0.09989868, -0.14008809]), 10]
[array([-0.15626788, -0.1505682 ]), 10]
[array([-0.15626788, -0.1505682 ]), 10]
[array([-0.28138324, -0.16966614]), 10]
[array([-0.4126705, -0.2016187]), 10]
[array([-0.63022035, -0.2333202 ]), 10]
[array([-0.72486083, -0.24176014]), 10]
[array([-0.82909443, -0.25038064]), 10]
[array([-0.92543574, -0.25611797]), 10]
[array([-1.03251598, -0.26275314]), 10]
[array([-1.09530846, -0.26143914]), 10]
[array([-1.08961052, -0.2499722 ]), 10]
[array([-1.16677262, -0.25162675]), 10]
[array([-1.17259703, -0.2427747 ]), 10]
[array([-1.11185273, -0.22047442]), 10]
[array([-1.22254544, -0.23090153]), 10]
[array([-1.20038412, -0.21737303]), 10]
[array([-1.16395837, -0.20023214]), 10]
[array([-1.19005171, -0.19642547]), 10]
[array([-1.23686215, -0.19736664]), 10]
[array([-1.18556467, -0.17875225]), 10]
[array([-1.18556467, -0.17875225]), 10]
[array([-1.23660312, -0.17439175]), 10]
[array([-1.21041486, -0.1530017 ]), 10]
[array([-1.30509876, -0.22462293]), 10]
[array([-1.23654743, -0.20348032]), 10]
[array([-1.26108231, -0.19995127]), 10]
[array([-1.28428133, -0.19455982]), 10]
[array([-1.23143924, -0.1766336 ]), 10]
[array([-1.2071901, -0.1635336]), 10]
[array([-1.2071901, -0.1635336]), 10]
[array([-1.30990663, -0.17158821]), 10]
[array([-1.35189681, -0.17469321]), 10]
[array([-1.30219547, -0.15674043]), 10]
[array([-1.29263534, -0.14771016]), 10]
[array([-1.28086173, -0.13926199]), 10]
[array([-1.3289107 , -0.14372543]), 10]
[array([-1.25805803, -0.11978699]), 10]
[array([-1.30475612, -0.12602916]), 10]
[array([-1.314203  , -0.12314593]), 10]
[array([-1.314203  , -0.12314593]), 10]
[array([-1.27844727, -0.0974351 ]), 10]
[array([-1.28594971, -0.09322438]), 10]
[array([-1.22253403, -0.06950755]), 10]
[array([-1.20808053, -0.06018466]), 10]
[array([-1.20601455, -0.05714627]), 10]
[array([-1.14358991, -0.0302306 ]), 10]
[array([-1.1251208 , -0.02113038]), 10]
[array([-1.14171764, -0.02737743]), 10]
[array([-1.10713827, -0.00912566]), 10]
[array([-1.08613695e+00, -8.28489953e-04]), 10]
[array([-1.07123349,  0.00752001]), 10]
[array([-1.05528752,  0.01283401]), 10]
[array([-1.02744217,  0.02640412]), 10]
[array([-1.02920952,  0.02314018]), 10]
[array([-1.0137268 ,  0.02810951]), 10]
[array([-0.9736235 ,  0.04721768]), 10]
[array([-0.9872609,  0.0351434]), 10]
[array([-0.88836424,  0.07667445]), 10]
[array([-0.87218804,  0.07738112]), 10]
[array([-0.85515623,  0.07945101]), 10]
[array([-0.82983168,  0.08475501]), 10]
[array([-0.78632427,  0.09993612]), 10]
[array([-0.75025827,  0.1107299 ]), 10]
[array([-0.71604528,  0.11520034]), 10]
[array([-0.66268779,  0.13329962]), 10]
[array([-0.63454152,  0.13444829]), 10]
[array([-0.57888322,  0.15238634]), 10]
[array([-0.54390551,  0.15413762]), 10]
[array([-0.43828856,  0.17852979]), 10]
[array([-0.40031106,  0.17922907]), 10]
[array([-0.33908757,  0.19338062]), 10]
[array([-0.27367493,  0.20550307]), 10]
[array([-0.24478966,  0.12028903]), 10]
[array([-0.19433078,  0.13531303]), 10]
[array([-0.15332077,  0.14192064]), -10]
[array([-0.13723204,  0.13518825]), -10]
[array([-0.0481777 ,  0.16277925]), -10]
[array([-0.02586544,  0.15927192]), -10]
[array([0.05573452, 0.17741242]), -10]
[array([0.09052911, 0.17745775]), -10]
[array([0.16195063, 0.19077009]), -10]
[array([0.21526799, 0.19510392]), -10]
[array([0.29705401, 0.20698053]), -10]
[array([0.37647843, 0.21654531]), -10]
[array([0.43433791, 0.22038442]), -10]
[array([0.55754782, 0.22720147]), -10]
[array([0.57287775, 0.21820386]), -10]
[array([0.52599704, 0.19157897]), -10]
[array([0.53720437, 0.18348659]), -10]
[array([0.56366816, 0.18093659]), -10]
[array([0.54712897, 0.16424859]), -10]
[array([0.50668783, 0.14093359]), -10]
[array([0.5013976 , 0.12976959]), -10]
[array([0.48418576, 0.11661531]), -10]
[array([0.4710423 , 0.10372275]), -10]
[array([0.41691478, 0.07712159]), -10]
[array([0.42442773, 0.07323247]), -10]
[array([0.40331395, 0.05477925]), -10]
[array([0.3661655 , 0.03457525]), -10]
[array([0.33473964, 0.01937019]), -10]
[array([0.30016105, 0.00202163]), -10]
[array([ 0.27440015, -0.00603098]), -10]
[array([ 0.24226869, -0.0215217 ]), -10]
[array([ 0.17387696, -0.05013064]), -10]
[array([ 0.13116241, -0.06614653]), -10]
[array([ 0.09274346, -0.07562498]), -10]
[array([ 0.01019437, -0.09590037]), 10]
[array([-0.08099557, -0.12500698]), 10]
[array([-0.15843544, -0.1468467 ]), 10]
[array([-0.22685457, -0.15946253]), 10]
[array([-0.27731468, -0.16670209]), 10]
[array([-0.40248246, -0.19422548]), 10]
[array([-0.40248246, -0.19422548]), 10]
[array([-0.55614757, -0.21282681]), 10]
[array([-0.77496831, -0.23824514]), 10]
[array([-0.96640411, -0.26422187]), 10]
[array([-1.09318214, -0.2047046 ]), 10]
[array([-1.15717405, -0.20851738]), 10]
[array([-1.20157443, -0.20803305]), 10]
[array([-1.21725693, -0.20135282]), 10]
[array([-1.24952748, -0.1990691 ]), 10]
[array([-1.25280359, -0.19082721]), 10]
[array([-1.29028987, -0.1895806 ]), 10]
[array([-1.27856377, -0.17922194]), 10]
[array([-1.19739824, -0.1523131 ]), 10]
[array([-1.30104317, -0.16799177]), 10]
[array([-1.27777859, -0.15457027]), 10]
[array([-1.23931555, -0.13799732]), 10]
[array([-1.32031246, -0.14220077]), 10]
[array([-1.32031246, -0.14220077]), 10]
[array([-1.22213014, -0.1105981 ]), 10]
[array([-1.27379821, -0.11312805]), 10]
[array([-1.25569962, -0.10172416]), 10]
[array([-1.22395411, -0.08704671]), 10]
[array([-1.25855104, -0.0918591 ]), 10]
[array([-1.25208923, -0.08476177]), 10]
[array([-1.23992872, -0.07461727]), 10]
[array([-1.2228328 , -0.06567777]), 10]
[array([-1.25045062, -0.06983205]), 10]
[array([-1.20639288, -0.05202499]), 10]
[array([-1.20247732, -0.04256182]), 10]
[array([-1.17249755, -0.02867971]), 10]
[array([-1.15194899, -0.01676649]), 10]
[array([-1.16461685, -0.02112249]), 10]
[array([-1.13686286, -0.00585627]), 10]
[array([-1.111842  ,  0.00457723]), 10]
[array([-1.1180458 ,  0.00122195]), 10]
[array([-1.11229054,  0.00511529]), 10]
[array([-1.07185382,  0.02375473]), 10]
[array([-1.07308021,  0.02041173]), 10]
[array([-1.05419216,  0.04924753]), 10]
[array([-1.02184615,  0.06490403]), 10]
[array([-1.00637436,  0.06685576]), 10]
[array([-0.95732382,  0.08209148]), 10]
[array([-0.92732117,  0.09150987]), 10]
[array([-0.90534722,  0.09338681]), 10]
[array([-0.88184388,  0.09889287]), 10]
[array([-0.83714995,  0.11920826]), 10]
[array([-0.82252643,  0.11502609]), 10]
[array([-0.78784279,  0.12538915]), 10]
[array([-0.74499952,  0.13864487]), 10]
[array([-0.72224373,  0.1376642 ]), 10]
[array([-0.68981991,  0.13808703]), 10]
[array([-0.63852645,  0.15588881]), 10]
[array([-0.57000331,  0.16446009]), 10]
[array([-0.52391948,  0.17313565]), 10]
[array([-0.52391948,  0.17313565]), 10]
[array([-0.42665273,  0.18780531]), 10]
[array([-0.387179  ,  0.18785826]), 10]
[array([-0.32492392,  0.20260048]), 10]
[array([-0.26685882,  0.21090209]), -10]
[array([-0.21668149,  0.21346698]), -10]
[array([-0.14195424,  0.22751398]), -10]
[array([-0.09115482,  0.22886192]), -10]
[array([-0.02012598,  0.23618237]), -10]
[array([0.06767389, 0.24760909]), -10]
[array([0.12937964, 0.25143792]), -10]
[array([0.17837667, 0.24668531]), -10]
[array([0.34764712, 0.36432312]), -10]
[array([0.66145182, 0.3717349 ]), -10]
[array([0.86896172, 0.37954206]), -10]
[array([1.01733281, 0.38019806]), -10]
[array([1.09112214, 0.37261245]), -10]
[array([1.1214495, 0.3620184]), -10]
[array([1.1134283 , 0.34872973]), -10]
[array([1.10708961, 0.33531751]), -10]
[array([1.06363412, 0.31710556]), -10]
[array([1.03558673, 0.30052879]), -10]
[array([1.02224594, 0.28596412]), -10]
[array([1.00178029, 0.27098873]), -10]
[array([1.03525107, 0.26570884]), -10]
[array([1.04735597, 0.25741879]), -10]
[array([1.01220584, 0.23887118]), -10]
[array([0.99793182, 0.22672729]), -10]
[array([0.93893089, 0.20282084]), -10]
[array([0.87864647, 0.16765418]), -10]
[array([0.9000132 , 0.24755388]), -10]
[array([0.90098055, 0.23568465]), -10]
[array([0.82514307, 0.20887315]), -10]
[array([0.88487252, 0.21087043]), -10]
[array([0.81966686, 0.18382182]), -10]
[array([0.77643945, 0.16252865]), -10]
[array([0.8001712 , 0.15817793]), -10]
[array([0.74829257, 0.13479654]), -10]
[array([0.69758027, 0.10943726]), -10]
[array([0.71430867, 0.10802843]), -10]
[array([0.6853663 , 0.09126471]), -10]
[array([0.65414377, 0.07519326]), -10]
[array([0.59978801, 0.04266065]), -10]
[array([0.54700781, 0.01653271]), -10]
[array([0.53086868, 0.00966976]), -10]
[array([ 0.5018355 , -0.00558218]), -10]
[array([ 0.46286694, -0.02071729]), -10]
[array([ 0.41929264, -0.04019307]), -10]
[array([ 0.39179253, -0.04895846]), -10]
[array([ 0.34938948, -0.06387757]), -10]
[array([ 0.30055806, -0.08215335]), -10]
[array([ 0.25133767, -0.0984224 ]), -10]
[array([ 0.19541479, -0.11416507]), -10]
[array([ 0.15530689, -0.12335229]), -10]
[array([ 0.11523838, -0.12792396]), -10]
[array([ 0.02941192, -0.22018659]), 10]
[array([-0.06952974, -0.23861943]), 10]
[array([-0.15675313, -0.24739787]), 10]
[array([-0.24001398, -0.25418165]), 10]
[array([-0.38070167, -0.27402154]), 10]
[array([-0.74001222, -0.31625943]), 10]
[array([-0.95177697, -0.33284343]), 10]
[array([-1.17614651, -0.34570404]), 10]
[array([-1.8524347, -0.436111 ]), -5]
[array([-3.69615457, -0.48621266]), -5]
[array([-4.0316818 , -0.48240233]), -5]
