state(speed_set_point=1.5, current_speed=0.63, steering_angle_set_point=0.0, current_steering_angle=-0.2041045483057916, steer_adc_set_point=2.58296, steer_adc_avg=2.580245409507533, steer_dac_value=0.05, speed_dac_value=1.505799999999999)
state(speed_set_point=1.5, current_speed=1.1, steering_angle_set_point=-10, current_steering_angle=-0.13518013913532564, steer_adc_set_point=2.44996, steer_adc_avg=2.5811621041495, steer_dac_value=2.204528693217773, speed_dac_value=1.218699999999999)
state(speed_set_point=1.5, current_speed=1.17, steering_angle_set_point=-10, current_steering_angle=-0.5769229433641422, steer_adc_set_point=2.44996, steer_adc_avg=2.575286924853257, steer_dac_value=2.350264721050652, speed_dac_value=1.1839999999999993)
state(speed_set_point=1.5, current_speed=1.18, steering_angle_set_point=-10, current_steering_angle=-2.9736126258821534, steer_adc_set_point=2.44996, steer_adc_avg=2.5434109520757673, steer_dac_value=2.0888446101667344, speed_dac_value=1.2067)
state(speed_set_point=1.5, current_speed=1.27, steering_angle_set_point=-10, current_steering_angle=-4.164125147917244, steer_adc_set_point=2.44996, steer_adc_avg=2.5275771355327006, steer_dac_value=1.9865917832778934, speed_dac_value=1.1405000000000005)
state(speed_set_point=1.5, current_speed=1.24, steering_angle_set_point=-10, current_steering_angle=-6.8365124671170525, steer_adc_set_point=2.44996, steer_adc_avg=2.492034384187343, steer_dac_value=1.5511434081036866, speed_dac_value=1.1924000000000001)
state(speed_set_point=1.5, current_speed=1.27, steering_angle_set_point=-10, current_steering_angle=-8.064620121426948, steer_adc_set_point=2.44996, steer_adc_avg=2.4757005523850215, steer_dac_value=1.3727674981943243, speed_dac_value=1.1862999999999997)
state(speed_set_point=1.5, current_speed=1.26, steering_angle_set_point=-10, current_steering_angle=-9.183075306602001, steer_adc_set_point=2.44996, steer_adc_avg=2.4608250984221933, steer_dac_value=1.183499589220869, speed_dac_value=1.2199999999999993)
state(speed_set_point=1.5, current_speed=1.28, steering_angle_set_point=-10, current_steering_angle=-10.157415818057041, steer_adc_set_point=2.44996, steer_adc_avg=2.4478663696198413, steer_dac_value=0.05, speed_dac_value=1.222599999999999)
state(speed_set_point=1.5, current_speed=1.25, steering_angle_set_point=-10, current_steering_angle=-10.220074371848362, steer_adc_set_point=2.44996, steer_adc_avg=2.4470330108544167, steer_dac_value=0.05291505168817805, speed_dac_value=1.2744999999999986)
state(speed_set_point=1.5, current_speed=1.27, steering_angle_set_point=-10, current_steering_angle=-10.10415604733444, steer_adc_set_point=2.44996, steer_adc_avg=2.448574724570452, steer_dac_value=0.05, speed_dac_value=1.2778999999999983)
state(speed_set_point=1.5, current_speed=1.33, steering_angle_set_point=-10, current_steering_angle=-10.173080456504906, steer_adc_set_point=2.44996, steer_adc_avg=2.4476580299284847, steer_dac_value=0.05, speed_dac_value=1.2343999999999984)
state(speed_set_point=1.5, current_speed=1.32, steering_angle_set_point=-10, current_steering_angle=-10.094757264265722, steer_adc_set_point=2.44996, steer_adc_avg=2.448699728385266, steer_dac_value=0.05, speed_dac_value=1.2586999999999986)
state(speed_set_point=1.5, current_speed=1.4, steering_angle_set_point=-10, current_steering_angle=-10.019566999716176, steer_adc_set_point=2.44996, steer_adc_avg=2.449699758903775, steer_dac_value=0.05, speed_dac_value=1.1886999999999976)
state(speed_set_point=1.5, current_speed=1.35, steering_angle_set_point=-10, current_steering_angle=-10.038364565853547, steer_adc_set_point=2.44996, steer_adc_avg=2.4494497512741478, steer_dac_value=0.05, speed_dac_value=1.2531999999999979)
state(speed_set_point=1.5, current_speed=1.47, steering_angle_set_point=-10, current_steering_angle=-10.101023119644866, steer_adc_set_point=2.44996, steer_adc_avg=2.448616392508723, steer_dac_value=0.05, speed_dac_value=1.1373999999999977)
state(speed_set_point=1.5, current_speed=1.35, steering_angle_set_point=10, current_steering_angle=-10.060295059680522, steer_adc_set_point=2.71596, steer_adc_avg=2.449158075706249, steer_dac_value=3.5, speed_dac_value=1.2723999999999982)
state(speed_set_point=1.5, current_speed=1.34, steering_angle_set_point=10, current_steering_angle=-9.678077881553452, steer_adc_set_point=2.71596, steer_adc_avg=2.454241564175339, steer_dac_value=3.5, speed_dac_value=1.2983999999999987)
state(speed_set_point=1.5, current_speed=1.37, steering_angle_set_point=10, current_steering_angle=-7.099678393040592, steer_adc_set_point=2.71596, steer_adc_avg=2.48853427737256, steer_dac_value=3.5, speed_dac_value=1.2750999999999986)
state(speed_set_point=1.5, current_speed=1.39, steering_angle_set_point=10, current_steering_angle=-4.026276329576312, steer_adc_set_point=2.71596, steer_adc_avg=2.529410524816635, steer_dac_value=3.5, speed_dac_value=1.2650999999999994)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=10, current_steering_angle=-0.07878744072315051, steer_adc_set_point=2.71596, steer_adc_avg=2.581912127038382, steer_dac_value=3.5, speed_dac_value=1.1594999999999998)
state(speed_set_point=1.5, current_speed=1.44, steering_angle_set_point=10, current_steering_angle=2.9162914305019787, steer_adc_set_point=2.71596, steer_adc_avg=2.6217466760256762, steer_dac_value=3.5, speed_dac_value=1.2230999999999994)
state(speed_set_point=1.5, current_speed=1.49, steering_angle_set_point=10, current_steering_angle=6.0617508308262975, steer_adc_set_point=2.71596, steer_adc_avg=2.6635812860499897, steer_dac_value=3.349654392691827, speed_dac_value=1.176099999999999)
state(speed_set_point=1.5, current_speed=1.48, steering_angle_set_point=10, current_steering_angle=9.031766280534844, steer_adc_set_point=2.71596, steer_adc_avg=2.7030824915311134, steer_dac_value=2.817984065024773, speed_dac_value=1.1876999999999989)
state(speed_set_point=1.5, current_speed=1.48, steering_angle_set_point=10, current_steering_angle=11.25927786781633, steer_adc_set_point=2.71596, steer_adc_avg=2.732708395641957, steer_dac_value=0.26466547286396364, speed_dac_value=1.1896999999999986)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=10, current_steering_angle=11.69162188897643, steer_adc_set_point=2.71596, steer_adc_avg=2.7384585711233864, steer_dac_value=0.3922484687643079, speed_dac_value=1.1702999999999986)
state(speed_set_point=1.5, current_speed=1.47, steering_angle_set_point=10, current_steering_angle=11.378329120019826, steer_adc_set_point=2.71596, steer_adc_avg=2.7342917772962636, steer_dac_value=0.3647771558783762, speed_dac_value=1.2026999999999983)
state(speed_set_point=1.5, current_speed=1.5, steering_angle_set_point=10, current_steering_angle=10.958516809617985, steer_adc_set_point=2.71596, steer_adc_avg=2.728708273567919, steer_dac_value=0.30273063403221145, speed_dac_value=1.1729999999999983)
state(speed_set_point=1.5, current_speed=1.54, steering_angle_set_point=10, current_steering_angle=10.660888679109245, steer_adc_set_point=2.71596, steer_adc_avg=2.724749819432153, steer_dac_value=0.26043429181799893, speed_dac_value=1.1305999999999985)
