[array([-0.2304777 , -0.05881514]), 10]
[array([-0.18075276, -0.04014569]), 10]
[array([-0.20874739, -0.0458868 ]), 10]
[array([-0.24930927, -0.05391319]), 10]
[array([-0.20406175, -0.03994636]), 10]
[array([-0.21700681, -0.0413613 ]), 10]
[array([-0.22595167, -0.0416503 ]), 10]
[array([-0.26373598, -0.0490313 ]), 10]
[array([-0.29726551, -0.05505569]), 10]
[array([-0.26091113, -0.04364136]), 10]
[array([-0.26629846, -0.04289308]), 10]
[array([-0.28618743, -0.04629936]), 10]
[array([-0.23320848, -0.03119419]), 10]
[array([-0.22237681, -0.02701319]), 10]
[array([-0.12938312, -0.00040897]), 10]
[array([-0.13884687, -0.00351508]), 10]
[array([-0.0691968 ,  0.01531336]), 10]
[array([-0.04771277,  0.02000297]), -10]
[array([-0.03602758,  0.02312736]), -10]
[array([0.00807748, 0.03278286]), -10]
[array([0.06309899, 0.04543981]), -10]
[array([0.11015513, 0.0555767 ]), -10]
[array([0.2632735 , 0.08836692]), -10]
[array([0.2632735 , 0.08836692]), -10]
[array([0.41364349, 0.11674364]), -10]
[array([0.41364349, 0.11674364]), -10]
[array([0.51693592, 0.13507436]), -10]
[array([0.61447691, 0.14373181]), -10]
[array([0.72086725, 0.16030247]), -10]
[array([0.77549968, 0.16415092]), -10]
[array([0.68503405, 0.14111314]), -10]
[array([0.78094826, 0.15455464]), -10]
[array([0.70990728, 0.13368931]), -10]
[array([0.63216625, 0.11129647]), -10]
[array([0.668332  , 0.11525997]), -10]
[array([0.60766839, 0.09640209]), -10]
[array([0.5946988 , 0.08953425]), -10]
[array([0.56699036, 0.07986925]), -10]
[array([0.50049518, 0.06007247]), -10]
[array([0.50444798, 0.05859214]), -10]
[array([0.45636658, 0.04514931]), -10]
[array([0.39573642, 0.02552781]), -10]
[array([0.33084946, 0.00784292]), -10]
[array([0.3250289 , 0.00594281]), -10]
[array([ 0.28303349, -0.00455069]), -10]
[array([ 0.18994468, -0.02846147]), -10]
[array([ 0.16319445, -0.11819052]), -10]
[array([ 0.09250303, -0.1302513 ]), -10]
[array([ 0.00796606, -0.14519025]), 10]
[array([-0.0818497 , -0.16143263]), 10]
[array([-0.15732744, -0.17117958]), 10]
[array([-0.23232852, -0.18048686]), 10]
[array([-0.46457271, -0.21112863]), 10]
[array([-0.58702223, -0.22488675]), 10]
[array([-0.82860002, -0.25487247]), 10]
[array([-0.9404628 , -0.26148136]), 10]
[array([-1.17159171, -0.28116947]), 10]
[array([-1.32435857, -0.28857841]), 10]
[array([-1.44131589, -0.29135225]), 10]
[array([-1.64967692, -0.3020838 ]), 10]
[array([-1.51729774, -0.28116158]), 10]
[array([-1.66870643, -0.28814019]), -5]
[array([-1.58575927, -0.27208275]), 10]
[array([-1.58423123, -0.25783919]), 10]
[array([-1.42907622, -0.23271219]), 10]
[array([-1.51449219, -0.23678813]), 10]
[array([-1.34506975, -0.20844525]), 10]
[array([-1.34892344, -0.20244063]), 10]
[array([-1.41388544, -0.20575613]), 10]
[array([-1.4246311 , -0.20055836]), 10]
[array([-1.3198082 , -0.17876808]), 10]
[array([-1.3298516 , -0.17410458]), 10]
[array([-1.32922788, -0.16883247]), 10]
[array([-1.41576593, -0.17699191]), 10]
[array([-1.36173784, -0.16243986]), 10]
[array([-1.29596675, -0.14611875]), 10]
[array([-1.28911396, -0.13981991]), 10]
[array([-1.31197244, -0.1351373 ]), 10]
[array([-1.23225579, -0.11536208]), 10]
[array([-1.19716339, -0.10474875]), 10]
[array([-1.18089192, -0.09852352]), 10]
[array([-1.10966588, -0.0791068 ]), 10]
[array([-1.11815009, -0.07831286]), 10]
[array([-1.09562889, -0.0692958 ]), 10]
[array([-1.08316543, -0.06378125]), 10]
[array([-1.03102819, -0.04969847]), 10]
[array([-1.00493503, -0.04052736]), 10]
[array([-0.97238148, -0.03158675]), 10]
[array([-0.94919941, -0.02475808]), 10]
[array([-0.94175214, -0.02134058]), 10]
[array([-0.86841962, -0.00190702]), 10]
[array([-0.82453896,  0.01021703]), 10]
[array([-0.78719042,  0.01911964]), 10]
[array([-0.77553543,  0.02133275]), 10]
[array([-0.68929774,  0.04387514]), 10]
[array([-0.69268553,  0.04040859]), 10]
[array([-0.65090319,  0.0494707 ]), 10]
[array([-0.56154042,  0.07358264]), 10]
[array([-0.52935356,  0.07852148]), 10]
[array([-0.53535378,  0.07166853]), 10]
[array([-0.45662125,  0.09081414]), 10]
[array([-0.35973115,  0.1092587 ]), 10]
[array([-0.28602499,  0.12301014]), 10]
[array([-0.27174779,  0.12147192]), 10]
[array([-0.18918409,  0.1378552 ]), 10]
[array([-0.13355504,  0.14578459]), -10]
[array([-0.05381592,  0.15956109]), -10]
[array([0.00213469, 0.16520442]), -10]
[array([0.06762689, 0.17273575]), -10]
[array([0.17127007, 0.17479562]), -10]
[array([0.26067178, 0.18544012]), -10]
[array([0.32390029, 0.19117745]), -10]
[array([0.50583063, 0.22052478]), -10]
[array([0.74557632, 0.25347362]), -10]
[array([0.81524985, 0.25444578]), -10]
[array([0.86722082, 0.25328017]), -10]
[array([0.99793785, 0.26354512]), -10]
[array([1.11291691, 0.26292862]), -10]
[array([1.16354479, 0.25963167]), -10]
[array([1.09401535, 0.24261473]), -10]
[array([0.89720318, 0.20418312]), -10]
[array([0.90246941, 0.19729189]), -10]
[array([1.09162801, 0.21873151]), -10]
[array([0.96853592, 0.19443134]), -10]
[array([0.81311401, 0.15927567]), -10]
[array([0.92949285, 0.17494528]), -10]
[array([0.99422529, 0.18046456]), -10]
[array([0.73760374, 0.12575501]), -10]
[array([0.82668325, 0.13813223]), -10]
[array([0.84536549, 0.13622439]), -10]
[array([0.94855049, 0.15196012]), -10]
[array([0.82203747, 0.12164606]), -10]
[array([0.77406598, 0.10859734]), -10]
[array([0.76949086, 0.10153828]), -10]
[array([0.73435487, 0.08669751]), -10]
[array([0.72792352, 0.08243912]), -10]
[array([0.75306454, 0.08416617]), -10]
[array([0.72846808, 0.07704067]), -10]
[array([0.64199225, 0.05519923]), -10]
[array([0.57063367, 0.03361678]), -10]
[array([0.600447  , 0.03990339]), -10]
[array([ 0.42523076, -0.00622766]), -10]
[array([ 0.32402284, -0.03438688]), -10]
[array([ 0.33766033, -0.02812816]), -10]
[array([ 0.34374624, -0.02481094]), -10]
[array([ 0.22589592, -0.05402977]), -10]
[array([ 0.22955334, -0.05125199]), -10]
[array([ 0.18229071, -0.05865316]), -10]
[array([ 0.04071064, -0.09393811]), 10]
[array([-0.06254026, -0.11007433]), 10]
[array([-0.17112865, -0.13097499]), 10]
[array([-0.18616783, -0.12732738]), 10]
[array([-0.31297061, -0.15104544]), 10]
[array([-0.38689159, -0.15943716]), 10]
[array([-0.52868453, -0.18168277]), 10]
[array([-0.74912352, -0.21234411]), 10]
[array([-0.89075258, -0.22734399]), 10]
[array([-0.98107997, -0.23157872]), 10]
[array([-1.14229001, -0.24485811]), 10]
[array([-1.31090062, -0.25726155]), 10]
[array([-1.30577393, -0.24820305]), 10]
[array([-1.28156671, -0.23651388]), 10]
[array([-1.40117215, -0.24364322]), 10]
[array([-1.25202973, -0.21659749]), 10]
[array([-1.22314898, -0.20690333]), 10]
