state(speed_set_point=1.5, current_speed=0.83, steering_angle_set_point=0.0, current_steering_angle=-0.2416996805805973, steer_adc_set_point=2.58296, steer_adc_avg=2.579745394248278, steer_dac_value=0.05, speed_dac_value=1.4049999999999998)
state(speed_set_point=1.5, current_speed=1.23, steering_angle_set_point=10, current_steering_angle=0.05279552223863602, steer_adc_set_point=2.71596, steer_adc_avg=2.583662180445774, steer_dac_value=2.2682113577684837, speed_dac_value=1.1208999999999996)
state(speed_set_point=1.5, current_speed=1.28, steering_angle_set_point=10, current_steering_angle=1.5096068978868056, steer_adc_set_point=2.71596, steer_adc_avg=2.6030377717418944, steer_dac_value=2.22893105665253, speed_dac_value=1.0943999999999992)
state(speed_set_point=1.5, current_speed=1.22, steering_angle_set_point=10, current_steering_angle=3.5397440407256116, steer_adc_set_point=2.71596, steer_adc_avg=2.6300385957416506, steer_dac_value=2.023720691752881, speed_dac_value=1.1805999999999985)
state(speed_set_point=1.5, current_speed=1.32, steering_angle_set_point=10, current_steering_angle=5.306715257640844, steer_adc_set_point=2.71596, steer_adc_avg=2.653539312926623, steer_dac_value=1.8201103756828525, speed_dac_value=1.1015999999999984)
state(speed_set_point=1.5, current_speed=1.38, steering_angle_set_point=10, current_steering_angle=6.913907162388237, steer_adc_set_point=2.71596, steer_adc_avg=2.6749149652597635, steer_dac_value=1.6036413338623174, speed_dac_value=1.0553999999999992)
state(speed_set_point=1.5, current_speed=1.37, steering_angle_set_point=10, current_steering_angle=8.261066068901629, steer_adc_set_point=2.71596, steer_adc_avg=2.6928321787163916, steer_dac_value=1.3941387482121206, speed_dac_value=1.0769999999999997)
state(speed_set_point=1.5, current_speed=1.41, steering_angle_set_point=10, current_steering_angle=9.511104217038467, steer_adc_set_point=2.71596, steer_adc_avg=2.7094576860866115, steer_dac_value=1.1666935252337187, speed_dac_value=1.0449999999999995)
state(speed_set_point=1.5, current_speed=1.36, steering_angle_set_point=10, current_steering_angle=10.50110936694134, steer_adc_set_point=2.71596, steer_adc_avg=2.7226247545803197, steer_dac_value=0.10429475826288881, speed_dac_value=1.1084999999999998)
state(speed_set_point=1.5, current_speed=1.41, steering_angle_set_point=10, current_steering_angle=10.526172788457886, steer_adc_set_point=2.71596, steer_adc_avg=2.72295809808649, steer_dac_value=0.11084453505051481, speed_dac_value=1.0684999999999993)
state(speed_set_point=1.5, current_speed=1.41, steering_angle_set_point=10, current_steering_angle=10.544970354595256, steer_adc_set_point=2.71596, steer_adc_avg=2.723208105716117, steer_dac_value=0.11633594620604164, speed_dac_value=1.0774999999999983)
state(speed_set_point=1.5, current_speed=1.36, steering_angle_set_point=10, current_steering_angle=10.516774005389168, steer_adc_set_point=2.71596, steer_adc_avg=2.722833094271676, steer_dac_value=0.11027742798140663, speed_dac_value=1.1409999999999987)
state(speed_set_point=1.5, current_speed=1.38, steering_angle_set_point=10, current_steering_angle=10.523039860768314, steer_adc_set_point=2.71596, steer_adc_avg=2.7229164301482185, steer_dac_value=0.11164413635670564, speed_dac_value=1.1329999999999998)
state(speed_set_point=1.5, current_speed=1.38, steering_angle_set_point=10, current_steering_angle=10.494843511562193, steer_adc_set_point=2.71596, steer_adc_avg=2.722541418703777, steer_dac_value=0.1067685644703511, speed_dac_value=1.1450000000000007)
state(speed_set_point=1.5, current_speed=1.38, steering_angle_set_point=10, current_steering_angle=10.59196426993878, steer_adc_set_point=2.71596, steer_adc_avg=2.7238331247901857, steer_dac_value=0.13784070485550304, speed_dac_value=1.1544000000000003)
state(speed_set_point=1.5, current_speed=1.35, steering_angle_set_point=10, current_steering_angle=10.435317885460446, steer_adc_set_point=2.71596, steer_adc_avg=2.721749727876624, steer_dac_value=0.08999474495681739, speed_dac_value=1.1985000000000008)
state(speed_set_point=1.5, current_speed=1.44, steering_angle_set_point=10, current_steering_angle=10.463514234666565, steer_adc_set_point=2.71596, steer_adc_avg=2.7221247393210652, steer_dac_value=0.09465364356416135, speed_dac_value=1.1166000000000007)
state(speed_set_point=1.5, current_speed=1.4, steering_angle_set_point=10, current_steering_angle=10.45411545159788, steer_adc_set_point=2.71596, steer_adc_avg=2.7219997355062517, steer_dac_value=0.09482780268767277, speed_dac_value=1.1658)
state(speed_set_point=1.5, current_speed=1.49, steering_angle_set_point=-10, current_steering_angle=10.397722753185674, steer_adc_set_point=2.44996, steer_adc_avg=2.7212497126173694, steer_dac_value=3.5, speed_dac_value=1.0785999999999996)
state(speed_set_point=1.5, current_speed=1.42, steering_angle_set_point=-10, current_steering_angle=9.110089472774028, steer_adc_set_point=2.44996, steer_adc_avg=2.7041241899878945, steer_dac_value=3.5, speed_dac_value=1.1558999999999988)
state(speed_set_point=1.5, current_speed=1.44, steering_angle_set_point=-10, current_steering_angle=6.375043599782867, steer_adc_set_point=2.44996, steer_adc_avg=2.667748079877112, steer_dac_value=3.5, speed_dac_value=1.1420999999999981)
state(speed_set_point=1.5, current_speed=1.49, steering_angle_set_point=-10, current_steering_angle=3.358034234730762, steer_adc_set_point=2.44996, steer_adc_avg=2.627621855321919, steer_dac_value=3.5, speed_dac_value=1.093599999999998)
state(speed_set_point=1.5, current_speed=1.43, steering_angle_set_point=-10, current_steering_angle=0.062194305307320744, steer_adc_set_point=2.44996, steer_adc_avg=2.5837871842605873, steer_dac_value=3.5, speed_dac_value=1.1598999999999973)
