[array([0.01, 0.29]), 1.6981041330938669, -0.35027546360371614, -0.09801598859477956]
[array([-0.01,  1.39]), 1.6036531971612402, -0.8491527243302949, -0.1924669245274062]
[array([-0.01,  1.39]), 1.6036531971612402, -0.8491527243302949, -0.1924669245274062]
[array([-0.01,  1.55]), 1.5845598187431986, -0.9417890331713689, -0.2115603029454478]
[array([-0.04,  1.69]), 1.6806328636826278, -0.6593492273874737, -0.11548725800601867]
[array([-0.04,  1.69]), 1.6806328636826278, -0.6593492273874737, -0.11548725800601867]
[array([-0.02,  1.83]), 1.6119751015676744, -0.91632888756781, -0.184145020120972]
[array([-0.02,  1.83]), 1.6119751015676744, -0.91632888756781, -0.184145020120972]
[array([-0.02,  1.94]), 1.5805118766090476, -1.033038336669219, -0.21560824507959886]
[array([-0.02,  1.94]), 1.5805118766090476, -1.033038336669219, -0.21560824507959886]
[array([-0.02,  1.94]), 1.5805118766090476, -1.033038336669219, -0.21560824507959886]
[array([-0.02,  1.94]), 1.5805118766090476, -1.033038336669219, -0.21560824507959886]
[array([-0.02,  2.17]), 1.5741189100919177, -1.1007632355362291, -0.2220012115967287]
[array([-0.02,  2.17]), 1.5741189100919177, -1.1007632355362291, -0.2220012115967287]
[array([-0.  ,  2.26]), 1.5186689270914318, -1.3163943597946188, -0.2774511945972147]
[array([-0.  ,  2.26]), 1.5186689270914318, -1.3163943597946188, -0.2774511945972147]
[array([-0.  ,  2.26]), 1.5186689270914318, -1.3163943597946188, -0.2774511945972147]
[array([0.02, 2.45]), 1.5186689270914318, -1.3768265902390335, -0.2774511945972147]
[array([0.02, 2.45]), 1.485849232238155, -1.4915471894565167, -0.3102708894504915]
[array([0.02, 2.45]), 1.485849232238155, -1.4915471894565167, -0.3102708894504915]
[array([0.02, 2.45]), 1.485849232238155, -1.4915471894565167, -0.3102708894504915]
[array([0.01, 2.63]), 1.5866259395117095, -1.206155616167754, -0.20949418217693694]
[array([0.01, 2.63]), 1.5866259395117095, -1.206155616167754, -0.20949418217693694]
[array([0.01, 2.63]), 1.5866259395117095, -1.206155616167754, -0.20949418217693694]
[array([0.01, 2.63]), 1.5866259395117095, -1.206155616167754, -0.20949418217693694]
[array([-0.01,  2.84]), 1.656803359806374, -1.0251292127059533, -0.13931676188227238]
[array([-0.01,  2.84]), 1.656803359806374, -1.0251292127059533, -0.13931676188227238]
[array([-0.01,  2.84]), 1.656803359806374, -1.0251292127059533, -0.13931676188227238]
[array([-0.03,  3.06]), 1.6810400489971178, -0.9795860375651273, -0.11508007269152865]
[array([-0.03,  3.06]), 1.6810400489971178, -0.9795860375651273, -0.11508007269152865]
[array([-0.03,  3.17]), 1.6265051421234527, -1.1670596392770465, -0.16961497956519378]
[array([-0.03,  3.17]), 1.6265051421234527, -1.1670596392770465, -0.16961497956519378]
[array([-0.04,  3.29]), 1.634679217142243, -1.1549206890161046, -0.16144090454640336]
[array([-0.04,  3.29]), 1.634679217142243, -1.1549206890161046, -0.16144090454640336]
[array([-0.04,  3.29]), 1.634679217142243, -1.1549206890161046, -0.16144090454640336]
[array([-0.08,  3.54]), 1.6811377874352298, -1.0400399812553993, -0.11498233425341664]
[array([-0.08,  3.54]), 1.6811377874352298, -1.0400399812553993, -0.11498233425341664]
[array([-0.08,  3.54]), 1.6811377874352298, -1.0400399812553993, -0.11498233425341664]
[array([-0.08,  3.54]), 1.6811377874352298, -1.0400399812553993, -0.11498233425341664]
[array([-0.09,  3.81]), 1.6284407122639146, -1.2421268676929729, -0.1676794094247318]
[array([-0.09,  3.81]), 1.6284407122639146, -1.2421268676929729, -0.1676794094247318]
[array([-0.09,  3.81]), 1.6284407122639146, -1.2421268676929729, -0.1676794094247318]
[array([-0.14,  4.09]), 1.706987160854817, -1.0326843329219835, -0.08913296083382938]
[array([-0.14,  4.09]), 1.706987160854817, -1.0326843329219835, -0.08913296083382938]
[array([-0.14,  4.09]), 1.706987160854817, -1.0326843329219835, -0.08913296083382938]
[array([-0.2 ,  4.36]), 1.7401836722935995, -0.9351777422663643, -0.05593644939504694]
[array([-0.24,  4.49]), 1.8011787408605964, -0.7560889123989925, 0.005058619171949941]
[array([-0.24,  4.49]), 1.8011787408605964, -0.7560889123989925, 0.005058619171949941]
[array([-0.24,  4.49]), 1.8011787408605964, -0.7560889123989925, 0.005058619171949941]
[array([-0.25,  4.64]), 1.7414233796612912, -0.9415850659858159, -0.054696742027355194]
[array([-0.25,  4.64]), 1.7414233796612912, -0.9415850659858159, -0.054696742027355194]
[array([-0.25,  4.64]), 1.7414233796612912, -0.9415850659858159, -0.054696742027355194]
[array([-0.31,  4.91]), 1.7640641397840118, -0.8822442005085505, -0.032055981904634656]
[array([-0.31,  4.91]), 1.7640641397840118, -0.8822442005085505, -0.032055981904634656]
[array([-0.35,  5.03]), 1.8321459432458067, -0.6845941762803086, 0.036025821557160276]
[array([-0.35,  5.03]), 1.8321459432458067, -0.6845941762803086, 0.036025821557160276]
[array([-0.38,  5.17]), 1.8007462482719527, -0.7767524179229408, 0.0046261265833063]
[array([-0.38,  5.17]), 1.8007462482719527, -0.7767524179229408, 0.0046261265833063]
[array([-0.38,  5.17]), 1.8007462482719527, -0.7767524179229408, 0.0046261265833063]
[array([-0.48,  5.44]), 1.876587611055189, -0.5282311863722159, 0.08046748936654247]
[array([-0.48,  5.44]), 1.876587611055189, -0.5282311863722159, 0.08046748936654247]
[array([-0.48,  5.44]), 1.876587611055189, -0.5282311863722159, 0.08046748936654247]
[array([-0.48,  5.44]), 1.876587611055189, -0.5282311863722159, 0.08046748936654247]
[array([-0.58,  5.72]), 1.8806641765890717, -0.47576147626229287, 0.08454405490042527]
[array([-0.58,  5.72]), 1.8806641765890717, -0.47576147626229287, 0.08454405490042527]
[array([-0.58,  5.72]), 1.8806641765890717, -0.47576147626229287, 0.08454405490042527]
[array([-0.65,  5.99]), 1.859025235456996, -0.5204714733656857, 0.216921443876809]
[array([-0.65,  5.99]), 1.859025235456996, -0.5204714733656857, 0.216921443876809]
[array([-0.65,  5.99]), 1.859025235456996, -0.5204714733656857, 0.216921443876809]
[array([-0.65,  5.99]), 1.859025235456996, -0.5204714733656857, 0.216921443876809]
[array([-0.75,  6.25]), 1.9185402648183016, -0.27881851110892064, 0.2764364732381146]
[array([-0.75,  6.25]), 1.9185402648183016, -0.27881851110892064, 0.2764364732381146]
[array([-0.75,  6.25]), 1.9185402648183016, -0.27881851110892064, 0.2764364732381146]
[array([-0.85,  6.51]), 1.9178641242660792, -0.18586033126373555, 0.2857412863308173]
[array([-0.85,  6.51]), 1.9178641242660792, -0.18586033126373555, 0.2857412863308173]
[array([-0.93,  6.64]), 1.9720438566369634, 0.037371956655862106, 0.33992101870170144]
[array([-0.93,  6.64]), 1.9720438566369634, 0.037371956655862106, 0.33992101870170144]
[array([-0.93,  6.64]), 1.9720438566369634, 0.037371956655862106, 0.33992101870170144]
[array([-1.06,  6.91]), 2.0193976063032983, 0.29366549239711875, 0.3872747683680364]
[array([-1.06,  6.91]), 2.0193976063032983, 0.29366549239711875, 0.3872747683680364]
[array([-1.14,  7.04]), 2.0375006849037587, 0.4244155674170169, 0.40537784696849677]
[array([-1.14,  7.04]), 2.0375006849037587, 0.4244155674170169, 0.40537784696849677]
[array([-1.14,  7.04]), 2.0375006849037587, 0.4244155674170169, 0.40537784696849677]
[array([-1.14,  7.04]), 2.0375006849037587, 0.4244155674170169, 0.40537784696849677]
