[array([-3.19850176e-09,  2.90964624e-01]), 1.628068259001539, -0.051272877200111665, -0.010606948187799281]
[array([-0.04431366,  0.68226188]), 1.627413585999116, -0.02845902500167178, -0.011261621190222337]
[array([-0.06647049,  0.91302692]), 1.6673706302954987, 0.08511082611214338, 0.028695423106160467]
[array([-0.06647051,  1.15382523]), 1.626973413961763, -0.04744262382564629, -0.011701793227575141]
[array([-0.08862736,  1.4046568 ]), 1.6541159018241522, 0.04029766724793985, 0.015440694634814012]
[array([-0.05539216,  1.68558816]), 1.5140912775293014, -0.4026063440883811, -0.12458392966003684]
[array([-0.06647061,  1.95648626]), 1.5796402591806018, -0.2290323921556327, -0.05903494800873643]
[array([-0.03323541,  2.20731783]), 1.4815920251266903, -0.5570217684223335, -0.15708318206264793]
[array([0.05539182, 2.47821595]), 1.2860987428083566, -1.2569886361032925, -0.35257646438098167]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
[array([0.11078383, 2.71901427]), 1.317379755393076, -1.2371753441846702, -0.3212954517962623]
