[array([-0.02050915, -0.0033763 ]), -10]
[array([-0.01138361, -0.00358469]), -10]
[array([0.03404433, 0.00913404]), -10]
[array([-0.01897705, -0.0037248 ]), -10]
[array([0.01611907, 0.00491493]), -10]
[array([-0.16104254, -0.0396563 ]), 10]
[array([-0.09161296, -0.01879141]), 10]
[array([-0.22280871, -0.05000113]), 10]
[array([-0.50279545, -0.11222857]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
[array([-0.49487014, -0.10227152]), 10]
