pos_data(lat=-25.7452898, long=28.2479214, heading=266.71856, speed=0.62)
pos_data(lat=-25.7452902, long=28.2479175, heading=266.75607, speed=1.1)
pos_data(lat=-25.7452904, long=28.247915199999998, heading=264.4667, speed=1.26)
pos_data(lat=-25.7452904, long=28.247912799999998, heading=266.78129, speed=1.24)
pos_data(lat=-25.7452906, long=28.247910299999997, heading=265.22614000000004, speed=1.17)
pos_data(lat=-25.745290299999997, long=28.2479075, heading=273.24896, speed=1.38)
pos_data(lat=-25.7452904, long=28.247904799999997, heading=269.49328, speed=1.33)
pos_data(lat=-25.7452901, long=28.2479023, heading=275.11103, speed=1.27)
pos_data(lat=-25.7452893, long=28.2478996, heading=286.31197000000003, speed=1.42)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
pos_data(lat=-25.745288799999997, long=28.247897199999997, heading=284.5197, speed=1.15)
